Energy (eV),Wavelength (nm),e1,e2,n,k
1.839105,674.240845,2.260041,0.000001,1.503343,0
1.834794,675.825195,2.25993,0.000001,1.503307,0
1.830503,677.409424,2.25982,0.000001,1.50327,0
1.826232,678.99353,2.25971,0.000001,1.503233,0
1.821982,680.577637,2.259601,0.000001,1.503197,0
1.817751,682.16156,2.259493,0.000002,1.503161,0.000001
1.81354,683.745483,2.259385,0.000002,1.503125,0.000001
1.809349,685.329285,2.259278,0.000002,1.503089,0.000001
1.805178,686.913025,2.259171,0.000002,1.503054,0.000001
1.801026,688.496643,2.259065,0.000002,1.503019,0.000001
1.796893,690.0802,2.25896,0.000002,1.502984,0.000001
1.792779,691.663696,2.258855,0.000002,1.502949,0.000001
1.788684,693.247009,2.25875,0.000002,1.502914,0.000001
1.784608,694.830322,2.258647,0.000002,1.50288,0.000001
1.780551,696.413513,2.258544,0.000002,1.502845,0.000001
1.776513,697.996643,2.258441,0.000002,1.502811,0.000001
1.772493,699.579651,2.25834,0.000002,1.502777,0.000001
1.768492,701.162537,2.258238,0.000002,1.502744,0.000001
1.764508,702.745422,2.258137,0.000002,1.50271,0.000001
1.760543,704.328125,2.258037,0.000002,1.502677,0.000001
1.756596,705.910767,2.257938,0.000002,1.502644,0.000001
1.752667,707.493347,2.257838,0.000002,1.502611,0.000001
1.748755,709.075806,2.25774,0.000002,1.502578,0.000001
1.744861,710.658203,2.257642,0.000002,1.502545,0.000001
1.740985,712.24054,2.257545,0.000002,1.502513,0.000001
1.737126,713.822693,2.257447,0.000002,1.50248,0.000001
1.733284,715.404785,2.257351,0.000002,1.502448,0.000001
1.72946,716.986816,2.257255,0.000002,1.502416,0.000001
1.725653,718.568726,2.257159,0.000002,1.502385,0.000001
1.721862,720.150513,2.257065,0.000002,1.502353,0.000001
1.718089,721.7323,2.25697,0.000002,1.502322,0.000001
1.714332,723.313904,2.256876,0.000003,1.50229,0.000001
1.710592,724.895386,2.256783,0.000003,1.502259,0.000001
1.706868,726.476868,2.25669,0.000003,1.502228,0.000001
1.703161,728.058228,2.256597,0.000003,1.502197,0.000001
1.699469,729.639465,2.256505,0.000003,1.502167,0.000001
1.695795,731.220581,2.256413,0.000003,1.502136,0.000001
1.692136,732.801636,2.256322,0.000003,1.502106,0.000001
1.688493,734.382568,2.256232,0.000003,1.502076,0.000001
1.684866,735.96344,2.256141,0.000003,1.502046,0.000001
1.681255,737.544189,2.256052,0.000003,1.502016,0.000001
1.67766,739.124878,2.255962,0.000003,1.501986,0.000001
1.67408,740.705383,2.255873,0.000003,1.501957,0.000001
1.670516,742.285828,2.255785,0.000003,1.501927,0.000001
1.666966,743.866211,2.255697,0.000003,1.501898,0.000001
1.663433,745.446411,2.255609,0.000003,1.501869,0.000001
1.659914,747.02655,2.255522,0.000003,1.50184,0.000001
1.656411,748.606628,2.255435,0.000003,1.501811,0.000001
1.652922,750.186584,2.255349,0.000003,1.501782,0.000001
1.649449,751.766418,2.255263,0.000003,1.501753,0.000001
1.64599,753.34613,2.255178,0.000003,1.501725,0.000001
1.642546,754.925781,2.255093,0.000003,1.501697,0.000001
1.639116,756.50531,2.255008,0.000003,1.501668,0.000001
1.635701,758.084717,2.254924,0.000003,1.50164,0.000001
1.6323,759.664063,2.25484,0.000004,1.501612,0.000001
1.628914,761.243286,2.254756,0.000004,1.501585,0.000001
1.625542,762.822388,2.254673,0.000004,1.501557,0.000001
1.622184,764.401367,2.25459,0.000004,1.501529,0.000001
1.618841,765.980286,2.254508,0.000004,1.501502,0.000001
1.615511,767.559082,2.254426,0.000004,1.501474,0.000001
1.612195,769.137756,2.254344,0.000004,1.501447,0.000001
1.608893,770.71637,2.254263,0.000004,1.50142,0.000001
1.605604,772.2948,2.254182,0.000004,1.501393,0.000001
1.60233,773.873169,2.254101,0.000004,1.501366,0.000001
1.599069,775.451416,2.254021,0.000004,1.50134,0.000001
1.595821,777.029541,2.253941,0.000004,1.501313,0.000001
