,Photon Energy (eV),e1,e2,N,n,k
240,2.089866,6.739647771,1.218042093,(2.6065761284091464+0.23364790310837275j),2.606576128,0.233647903
241,2.084288,6.734870434,1.213348548,(2.6055868838654925+0.2328359410645187j),2.605586884,0.232835941
242,2.078739,6.730225913,1.208689284,(2.604623340321977+0.23202765355339075j),2.60462334,0.232027654
243,2.07322,6.725713572,1.204062246,(2.6036853692018473+0.2312226854462732j),2.603685369,0.231222685
244,2.067731,6.721331851,1.199464569,(2.602772651817086+0.2304205417951877j),2.602772652,0.230420542
245,2.062271,6.717078366,1.194892584,(2.601884697641429+0.2296205870776746j),2.601884698,0.229620587
246,2.056839,6.712950749,1.190342653,(2.6010210194925696+0.22882219031379017j),2.601021019,0.22882219
247,2.051437,6.708948844,1.18581369,(2.6001815939870525+0.22802516815693255j),2.600181594,0.228025168
248,2.046063,6.705069434,1.18130129,(2.5993657574878193+0.22722875507054965j),2.599365757,0.227228755
249,2.040717,6.701310778,1.176802759,(2.598573156305038+0.22643248588947817j),2.598573156,0.226432486
250,2.0354,6.69767175,1.172316288,(2.5978035680151965+0.22563605310686055j),2.597803568,0.225636053
251,2.03011,6.694149116,1.167837575,(2.5970563259996395+0.2248387074051633j),2.597056326,0.224838707
252,2.024848,6.690741645,1.163364893,(2.596331187827003+0.22404015678987765j),2.596331188,0.224040157
253,2.019613,6.687446727,1.158894862,(2.5956276201328032+0.22323981544964722j),2.59562762,0.223239815
254,2.014406,6.684262967,1.154425854,(2.5949453499707484+0.22243741156597108j),2.59494535,0.222437412
255,2.009225,6.681187081,1.149953712,(2.5942837011419253+0.22163222002956548j),2.594283701,0.22163222
256,2.004072,6.678218131,1.145477777,(2.593642503190341+0.2208241450378716j),2.593642503,0.220824145
257,1.998945,6.675352778,1.140993977,(2.593021069654006+0.22001247694459466j),2.59302107,0.220012477
258,1.993844,6.67258882,1.136500018,(2.5924189609567043+0.21919682636767435j),2.592418961,0.219196826
259,1.98877,6.669924513,1.131994555,(2.591835839228053+0.2183769777577507j),2.591835839,0.218376978
260,1.983721,6.667356479,1.127473637,(2.5912710119273323+0.2175522420259831j),2.591271012,0.217552242
261,1.978698,6.664882864,1.122936036,(2.590724121508061+0.21672242649472218j),2.590724122,0.216722426
262,1.973701,6.662501216,1.118379708,(2.590194682938928+0.21588719097630588j),2.590194683,0.215887191
263,1.96873,6.660209027,1.11380268,(2.589682200465727+0.2150462091076624j),2.5896822,0.215046209
264,1.963783,6.658002851,1.109201181,(2.589185970058518+0.2141988241990124j),2.58918597,0.214198824
265,1.958862,6.655880998,1.104575217,(2.588705684104896+0.21334507515176346j),2.588705684,0.213345075
266,1.953965,6.653839964,1.099921133,(2.5882406289650572+0.2124843263325555j),2.588240629,0.212484326
267,1.949093,6.651877493,1.095238166,(2.5877903753613274+0.21161647715483375j),2.587790375,0.211616477
268,1.944246,6.649990834,1.090524704,(2.5873543858097623+0.2107412709989858j),2.587354386,0.210741271
269,1.939422,6.648176447,1.085777241,(2.5869319412209153+0.20985809945170245j),2.586931941,0.209858099
270,1.934623,6.646432268,1.080996275,(2.5865226688535223+0.20896709855094764j),2.586522669,0.208967099
271,1.929848,6.644755054,1.076179446,(2.586125923876243+0.20806787405294858j),2.586125924,0.208067874
272,1.925097,6.643141894,1.071325468,(2.5857411424875707+0.20716023170926268j),2.585741142,0.207160232
