Energy (eV),Wavelength (nm),n,k,e1,e2
1.695795,731.220581,1.454697,0,2.116144,0
1.692136,732.801636,1.454668,0,2.11606,0
1.688493,734.382568,1.454639,0,2.115975,0
1.684866,735.96344,1.45461,0,2.11589,0
1.681255,737.544189,1.454581,0,2.115806,0
1.67766,739.124878,1.454552,0,2.115723,0
1.67408,740.705383,1.454523,0,2.115638,0
1.670516,742.285828,1.454494,0,2.115554,0
1.666966,743.866211,1.454465,0,2.115469,0
1.663433,745.446411,1.454436,0,2.115385,0
1.659914,747.02655,1.454407,0,2.1153,0
1.656411,748.606628,1.454379,0,2.115217,0
1.652922,750.186584,1.45435,0,2.115133,0
1.649449,751.766418,1.454321,0,2.115049,0
1.64599,753.34613,1.454292,0,2.114964,0
1.642546,754.925781,1.454262,0,2.114879,0
1.639116,756.50531,1.454234,0,2.114795,0
1.635701,758.084717,1.454204,0,2.114711,0
1.6323,759.664063,1.454175,0,2.114626,0
1.628914,761.243286,1.454146,0,2.114542,0
1.625542,762.822388,1.454117,0,2.114458,0
1.622184,764.401367,1.454089,0,2.114374,0
1.618841,765.980286,1.45406,0,2.11429,0
1.615511,767.559082,1.454031,0,2.114205,0
1.612195,769.137756,1.454002,0,2.114122,0
1.608893,770.71637,1.453973,0,2.114037,0
1.605604,772.2948,1.453944,0,2.113953,0
1.60233,773.873169,1.453915,0,2.113869,0
1.599069,775.451416,1.453886,0,2.113785,0
1.595821,777.029541,1.453857,0,2.113701,0
1.592587,778.607544,1.453828,0,2.113617,0
1.589366,780.185486,1.453799,0,2.113533,0
1.586158,781.763306,1.45377,0,2.113448,0
1.582963,783.341003,1.453741,0,2.113364,0
1.579782,784.918579,1.453712,0,2.11328,0
1.576613,786.496094,1.453684,0,2.113196,0
1.573457,788.073425,1.453655,0,2.113112,0
1.570315,789.650696,1.453626,0,2.113028,0
1.567184,791.227844,1.453597,0,2.112943,0
1.564067,792.80481,1.453568,0,2.112859,0
1.560962,794.381714,1.453539,0,2.112776,0
1.55787,795.958557,1.45351,0,2.112692,0
1.55479,797.535278,1.453481,0,2.112608,0
1.551723,799.111816,1.453452,0,2.112524,0
1.548668,800.688293,1.453424,0,2.11244,0
1.545625,802.264587,1.453394,0,2.112355,0
1.542594,803.84082,1.453366,0,2.112272,0
1.539575,805.416931,1.453336,0,2.112187,0
1.536569,806.99292,1.453307,0,2.112102,0
1.533574,808.568726,1.453279,0,2.112019,0
1.530591,810.144531,1.45325,0,2.111936,0
1.52762,811.720154,1.453221,0,2.11185,0
1.524661,813.295654,1.453192,0,2.111767,0
1.521713,814.871033,1.453163,0,2.111683,0
1.518777,816.44635,1.453134,0,2.111598,0
1.515853,818.021484,1.453105,0,2.111515,0
1.51294,819.596497,1.453076,0,2.11143,0
1.510038,821.171509,1.453047,0,2.111346,0
1.507148,822.746216,1.453019,0,2.111265,0
1.504269,824.320923,1.45299,0,2.11118,0
1.501401,825.895508,1.452961,0,2.111094,0
1.498544,827.46991,1.452932,0,2.111011,0
1.495698,829.04425,1.452903,0,2.110928,0
1.492864,830.618347,1.452874,0,2.110843,0
1.49004,832.192505,1.452845,0,2.11076,0
1.487227,833.766418,1.452816,0,2.110675,0
1.484425,835.340149,1.452787,0,2.11059,0
1.481634,836.913879,1.452758,0,2.110507,0
1.478853,838.487427,1.452729,0,2.110422,0
1.476084,840.060852,1.452701,0,2.110339,0
1.473324,841.634155,1.452672,0,2.110256,0
1.470575,843.207336,1.452643,0,2.110173,0
1.467837,844.780396,1.452614,0,2.110087,0
1.465109,846.353333,1.452585,0,2.110004,0
1.462391,847.926147,1.452556,0,2.10992,0
1.459684,849.49884,1.452528,0,2.109838,0
1.456987,851.071411,1.4525,0,2.109755,0
1.4543,852.643738,1.452472,0,2.109676,0
1.451623,854.216003,1.452449,0,2.109607,0
1.448957,855.788208,1.452425,0,2.10954,0
1.4463,857.360229,1.452402,0,2.10947,0
1.443653,858.932129,1.452378,0,2.109403,0
1.441016,860.503906,1.452354,0,2.109333,0
1.438389,862.0755,1.452332,0,2.109267,0
1.435772,863.646973,1.452308,0,2.109198,0
1.433164,865.218384,1.452285,0,2.109132,0
1.430566,866.789673,1.452261,0,2.109063,0
1.427978,868.360718,1.452238,0,2.108996,0
1.425399,869.931763,1.452215,0,2.108927,0
1.42283,871.502563,1.452191,0,2.10886,0
1.42027,873.073242,1.452167,0,2.10879,0
1.41772,874.64386,1.452144,0,2.108723,0
1.415179,876.214233,1.452121,0,2.108656,0
1.412647,877.784546,1.452097,0,2.108587,0
1.410125,879.354675,1.452075,0,2.108521,0
1.407612,880.924683,1.452051,0,2.108452,0
1.405108,882.494629,1.452027,0,2.108383,0
1.402613,884.064331,1.452004,0,2.108315,0
1.400127,885.633972,1.45198,0,2.108247,0
1.39765,887.20343,1.451957,0,2.108179,0
1.395182,888.772766,1.451934,0,2.108112,0
1.392723,890.34198,1.451911,0,2.108045,0
1.390273,891.911011,1.451887,0,2.107975,0
1.387832,893.47998,1.451864,0,2.107909,0
1.385399,895.048706,1.451842,0,2.107845,0
1.382976,896.617371,1.451821,0,2.107783,0
1.380561,898.185913,1.451799,0,2.107721,0
1.378154,899.754272,1.451779,0,2.107662,0
1.375756,901.322449,1.451758,0,2.107601,0
1.373367,902.890503,1.451737,0,2.10754,0
1.370986,904.458496,1.451716,0,2.107479,0
1.368614,906.026245,1.451695,0,2.107418,0
1.36625,907.593933,1.451673,0,2.107356,0
1.363894,909.161438,1.451653,0,2.107295,0
1.361547,910.728821,1.451632,0,2.107235,0
1.359208,912.296021,1.451611,0,2.107173,0
